name,value,year,lastValue
AKDENIZ,13.0,2017.1,0.0
AKDENIZ,8.0,2017.2,13.0
AKDENIZ,15.0,2017.3,8.0
AKDENIZ,12.0,2017.4,15.0
AKDENIZ,7.0,2017.5,12.0
AKDENIZ,14.0,2017.6,7.0
AKDENIZ,11.0,2017.7,14.0
AKDENIZ,7.0,2017.8,11.0
AKDENIZ,5.0,2017.9,7.0
AKDENIZ,15.0,2017.10,5.0
AKDENIZ,10.0,2017.11,15.0
AKDENIZ,6.0,2017.12,10.0
AKDENIZ,16.0,2017.13,6.0
AKDENIZ,10.0,2017.14,16.0
AKDENIZ,9.0,2017.15,10.0
AKDENIZ,15.0,2017.16,9.0
AKDENIZ,19.0,2017.17,15.0
AKDENIZ,18.0,2017.18,19.0
AKDENIZ,11.0,2017.19,18.0
AKDENIZ,18.0,2017.20,11.0
AKDENIZ,10.0,2017.21,18.0
AKDENIZ,9.0,2017.22,10.0
AKDENIZ,19.0,2017.23,9.0
AKDENIZ,10.0,2017.24,19.0
AKDENIZ,20.0,2017.25,10.0
AKDENIZ,20.0,2017.26,20.0
AKDENIZ,19.0,2017.27,20.0
AKDENIZ,17.0,2017.28,19.0
AKDENIZ,9.0,2017.29,17.0
AKDENIZ,11.0,2017.30,9.0
AKDENIZ,11.0,2017.31,11.0
AKDENIZ,14.0,2017.32,11.0
AKDENIZ,19.0,2017.33,14.0
AKDENIZ,6.0,2017.34,19.0
AKDENIZ,5.0,2017.35,6.0
AKDENIZ,7.0,2017.36,5.0
AKDENIZ,8.0,2017.37,7.0
AKDENIZ,7.0,2017.38,8.0
AKDENIZ,10.0,2017.39,7.0
AKDENIZ,10.0,2017.40,10.0
AKDENIZ,8.0,2017.41,10.0
AKDENIZ,9.0,2017.42,8.0
AKDENIZ,6.0,2017.43,9.0
AKDENIZ,4.0,2017.44,6.0
AKDENIZ,6.0,2017.45,4.0
AKDENIZ,4.0,2017.46,6.0
AKDENIZ,8.0,2017.47,4.0
AKDENIZ,10.0,2017.48,8.0
AKDENIZ,6.0,2017.49,10.0
AKDENIZ,5.0,2017.50,6.0
AKDENIZ,7.0,2017.51,5.0
AKDENIZ,11.0,2017.52,7.0
AKDENIZ,564.0,2018,11.0
ALADAG,5.0,2017.1,0.0
ALADAG,3.0,2017.2,5.0
ALADAG,2.0,2017.3,3.0
ALADAG,0.0,2017.4,2.0
ALADAG,1.0,2017.5,0.0
ALADAG,3.0,2017.6,1.0
ALADAG,1.0,2017.7,3.0
ALADAG,5.0,2017.8,1.0
ALADAG,3.0,2017.9,5.0
ALADAG,12.0,2017.10,3.0
ALADAG,10.0,2017.11,12.0
ALADAG,10.0,2017.12,10.0
ALADAG,7.0,2017.13,10.0
ALADAG,3.0,2017.14,7.0
ALADAG,1.0,2017.15,3.0
ALADAG,1.0,2017.16,1.0
ALADAG,11.0,2017.17,1.0
ALADAG,8.0,2017.18,11.0
ALADAG,3.0,2017.19,8.0
ALADAG,6.0,2017.20,3.0
ALADAG,6.0,2017.21,6.0
ALADAG,6.0,2017.22,6.0
ALADAG,6.0,2017.23,6.0
ALADAG,3.0,2017.24,6.0
ALADAG,2.0,2017.25,3.0
ALADAG,7.0,2017.26,2.0
ALADAG,8.0,2017.27,7.0
ALADAG,14.0,2017.28,8.0
ALADAG,5.0,2017.29,14.0
ALADAG,4.0,2017.30,5.0
ALADAG,3.0,2017.31,4.0
ALADAG,3.0,2017.32,3.0
